TED_id,Rating,Total_count
0,Beautiful,4573
1,Beautiful,58
2,Beautiful,60
3,Beautiful,291
4,Beautiful,942
5,Beautiful,706
6,Beautiful,277
7,Beautiful,98
8,Beautiful,145
9,Beautiful,767
10,Beautiful,51
11,Beautiful,70
12,Beautiful,16
13,Beautiful,277
14,Beautiful,32
15,Beautiful,1671
16,Beautiful,1107
17,Beautiful,67
18,Beautiful,259
19,Beautiful,104
20,Beautiful,22
21,Beautiful,74
22,Beautiful,54
23,Beautiful,864
24,Beautiful,342
25,Beautiful,91
26,Beautiful,333
27,Beautiful,12
28,Beautiful,333
29,Beautiful,444
30,Beautiful,277
31,Beautiful,68
32,Beautiful,65
33,Beautiful,6
34,Beautiful,60
35,Beautiful,11
36,Beautiful,48
37,Beautiful,30
38,Beautiful,44
39,Beautiful,68
40,Beautiful,106
41,Beautiful,6
42,Beautiful,13
43,Beautiful,136
44,Beautiful,55
45,Beautiful,52
46,Beautiful,23
47,Beautiful,576
48,Beautiful,408
49,Beautiful,8
50,Beautiful,18
51,Beautiful,16
52,Beautiful,563
53,Beautiful,126
54,Beautiful,214
55,Beautiful,30
56,Beautiful,13
57,Beautiful,32
58,Beautiful,1810
59,Beautiful,186
60,Beautiful,4
61,Beautiful,26
62,Beautiful,313
63,Beautiful,45
64,Beautiful,168
65,Beautiful,126
66,Beautiful,441
67,Beautiful,95
68,Beautiful,101
69,Beautiful,109
70,Beautiful,20
71,Beautiful,27
72,Beautiful,180
73,Beautiful,100
74,Beautiful,24
75,Beautiful,88
76,Beautiful,123
77,Beautiful,33
78,Beautiful,364
79,Beautiful,20
80,Beautiful,241
81,Beautiful,12
82,Beautiful,95
83,Beautiful,544
84,Beautiful,1262
85,Beautiful,111
86,Beautiful,84
87,Beautiful,215
88,Beautiful,67
89,Beautiful,1535
90,Beautiful,138
91,Beautiful,18
92,Beautiful,225
93,Beautiful,396
94,Beautiful,272
95,Beautiful,223
96,Beautiful,399
97,Beautiful,17
98,Beautiful,224
99,Beautiful,8
100,Beautiful,364
101,Beautiful,51
102,Beautiful,61
103,Beautiful,52
104,Beautiful,50
105,Beautiful,24
106,Beautiful,39
107,Beautiful,156
108,Beautiful,632
109,Beautiful,42
110,Beautiful,132
111,Beautiful,161
112,Beautiful,424
113,Beautiful,11
114,Beautiful,16
115,Beautiful,216
116,Beautiful,16
117,Beautiful,218
118,Beautiful,62
119,Beautiful,67
120,Beautiful,30
121,Beautiful,360
122,Beautiful,15
123,Beautiful,238
124,Beautiful,169
125,Beautiful,1054
126,Beautiful,38
127,Beautiful,35
128,Beautiful,26
129,Beautiful,236
130,Beautiful,6
131,Beautiful,146
132,Beautiful,221
133,Beautiful,87
134,Beautiful,359
135,Beautiful,210
136,Beautiful,52
137,Beautiful,265
138,Beautiful,195
139,Beautiful,25
140,Beautiful,631
141,Beautiful,46
142,Beautiful,48
143,Beautiful,60
144,Beautiful,55
145,Beautiful,183
146,Beautiful,20
147,Beautiful,31
148,Beautiful,1224
149,Beautiful,414
150,Beautiful,46
151,Beautiful,31
152,Beautiful,138
153,Beautiful,16
154,Beautiful,215
155,Beautiful,29
156,Beautiful,308
157,Beautiful,1621
158,Beautiful,91
159,Beautiful,15
160,Beautiful,14
161,Beautiful,11
162,Beautiful,28
163,Beautiful,78
164,Beautiful,317
165,Beautiful,201
166,Beautiful,372
167,Beautiful,10
168,Beautiful,429
169,Beautiful,233
170,Beautiful,330
171,Beautiful,78
172,Beautiful,1148
173,Beautiful,18
174,Beautiful,65
175,Beautiful,177
176,Beautiful,5201
177,Beautiful,59
178,Beautiful,49
179,Beautiful,240
180,Beautiful,280
181,Beautiful,696
182,Beautiful,35
183,Beautiful,13
184,Beautiful,45
185,Beautiful,7
186,Beautiful,85
187,Beautiful,210
188,Beautiful,121
189,Beautiful,33
190,Beautiful,667
191,Beautiful,14
192,Beautiful,177
193,Beautiful,80
194,Beautiful,59
195,Beautiful,45
196,Beautiful,66
197,Beautiful,330
198,Beautiful,30
199,Beautiful,33
200,Beautiful,14
201,Beautiful,9437
202,Beautiful,19
203,Beautiful,209
204,Beautiful,318
205,Beautiful,70
206,Beautiful,37
207,Beautiful,29
208,Beautiful,228
209,Beautiful,522
210,Beautiful,110
211,Beautiful,32
212,Beautiful,132
213,Beautiful,209
214,Beautiful,68
215,Beautiful,159
216,Beautiful,204
217,Beautiful,27
218,Beautiful,20
219,Beautiful,416
220,Beautiful,349
221,Beautiful,448
222,Beautiful,23
223,Beautiful,36
224,Beautiful,167
225,Beautiful,9
226,Beautiful,367
227,Beautiful,122
228,Beautiful,26
229,Beautiful,70
230,Beautiful,118
231,Beautiful,143
232,Beautiful,489
233,Beautiful,6
234,Beautiful,22
235,Beautiful,45
236,Beautiful,22
237,Beautiful,330
238,Beautiful,256
239,Beautiful,13
240,Beautiful,38
241,Beautiful,232
242,Beautiful,13
243,Beautiful,49
244,Beautiful,13
245,Beautiful,7
246,Beautiful,5967
247,Beautiful,21
248,Beautiful,134
249,Beautiful,41
250,Beautiful,216
251,Beautiful,817
252,Beautiful,243
253,Beautiful,23
